keys,en,uk,pl,be,kz,ru
"Новая игра с ботами","New game with bots","Нова гра з ботами","Nowa gra z botami","Новая гульня з ботамі","Боттармен жаңа ойын","Новая игра с ботами"
"Укажи имена игроков и параметры локальной партии","Set player names and local-game options","Вкажіть імена гравців і параметри локальної партії","Ustaw nazwy graczy i opcje gry lokalnej","Задай імёны гульцоў і параметры лакальнай партыі","Ойыншы аттарын және жергілікті ойын параметрлерін орнатыңыз","Укажи имена игроков и параметры локальной партии"
"Твой аватар берётся из профиля. Для каждого бота можно выбрать отдельный образ.","Your avatar comes from your profile. You can choose a separate look for each bot.","Ваш аватар береться з профілю. Для кожного бота можна вибрати окремий образ.","Twój awatar pochodzi z profilu. Dla każdego bota możesz wybrać osobny wygląd.","Твой аватар бярэцца з профілю. Для кожнага бота можна выбраць асобны вобраз.","Сіздің аватарыңыз профильден алынады. Әр ботқа жеке бейне таңдауға болады.","Твой аватар берётся из профиля. Для каждого бота можно выбрать отдельный образ."
"Начать партию","Start game","Почати партію","Rozpocznij grę","Пачаць партыю","Ойынды бастау","Начать партию"
"Назад","Back","Назад","Wstecz","Назад","Артқа","Назад"
"Ты","You","Ви","Ty","Ты","Сіз","Ты"
"Уровень ботов","Bot difficulty","Складність ботів","Poziom botów","Узровень ботаў","Бот қиындығы","Уровень ботов"
"Бот %d","Bot %d","Бот %d","Bot %d","Бот %d","Бот %d","Бот %d"
"Лёгкий — простые решения","Easy — simple decisions","Легкий — прості рішення","Łatwy — proste decyzje","Лёгкі — простыя рашэнні","Оңай — қарапайым шешімдер","Лёгкий — простые решения"
"Обычный — сбалансировано","Normal — balanced","Звичайний — збалансовано","Normalny — zrównoważony","Звычайны — збалансавана","Қалыпты — теңгерімді","Обычный — сбалансировано"
"Сложный — расчётливо","Hard — calculated","Складний — розважливо","Trudny — wyrachowany","Складаны — разважліва","Қиын — есеппен","Сложный — расчётливо"
"История","History","Історія","Historia","Гісторыя","Тарих","История"
"Полная","Full","Повна","Pełna","Поўная","Толық","Полная"
"Полная история","Full history","Повна історія","Pełna historia","Поўная гісторыя","Толық тарих","Полная история"
"Только последняя взятка","Last trick only","Лише остання взятка","Tylko ostatnia lewa","Толькі апошняя ўзятка","Тек соңғы ұтыс","Только последняя взятка"
"Легко","Easy","Легко","Łatwo","Лёгка","Оңай","Легко"
"Обычно","Normal","Звичайно","Normalnie","Звычайна","Қалыпты","Обычно"
"Сложно","Hard","Складно","Trudno","Складана","Қиын","Сложно"
"Настрой локальное имя и аватар для следующих партий","Set your local name and avatar for future games","Налаштуйте локальне ім’я та аватар для наступних партій","Ustaw lokalną nazwę i awatar dla przyszłych gier","Наладзь лакальнае імя і аватар для наступных партый","Келесі ойындарға жергілікті ат пен аватарды орнатыңыз","Настрой локальное имя и аватар для следующих партий"
"Имя игрока","Player name","Ім’я гравця","Nazwa gracza","Імя гульца","Ойыншы аты","Имя игрока"
"Аватар","Avatar","Аватар","Awatar","Аватар","Аватар","Аватар"
"Профиль","Profile","Профіль","Profil","Профіль","Профиль","Профиль"
"Лис","Fox","Лис","Lis","Ліс","Түлкі","Лис"
"Клоун","Clown","Клоун","Klaun","Клоўн","Сайқымазақ","Клоун"
"Чародейка","Card mage","Чарівниця","Iluzjonistka","Чараўніца","Сиқыршы","Чародейка"
"Тайна","Mystery","Таємниця","Tajemnica","Таямніца","Құпия","Тайна"
"Своя картинка","Custom image","Власне зображення","Własny obraz","Свая выява","Өз суреті","Своя картинка"
"Символ","Symbol","Символ","Symbol","Сімвал","Белгі","Символ"
"Выбрать свою картинку","Choose custom image","Вибрати власне зображення","Wybierz własny obraz","Выбраць сваю выяву","Өз суретіңізді таңдау","Выбрать свою картинку"
"Вернуть стандартный аватар","Restore default avatar","Повернути стандартний аватар","Przywróć domyślny awatar","Вярнуць стандартны аватар","Әдепкі аватарды қайтару","Вернуть стандартный аватар"
